circuitId,circuitName,country,locality,lat,long,wikipedia_url
adelaide,Adelaide Street Circuit,Australia,Adelaide,-34.9272,138.617,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit
ain-diab,Ain Diab,Morocco,Casablanca,33.5786,-7.6875,https://en.wikipedia.org/wiki/Ain-Diab_Circuit
aintree,Aintree,UK,Liverpool,53.4769,-2.94056,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,https://en.wikipedia.org/wiki/Albert_Park_Circuit
americas,Circuit of the Americas,USA,Austin,30.1328,-97.6411,https://en.wikipedia.org/wiki/Circuit_of_the_Americas
anderstorp,Scandinavian Raceway,Sweden,Anderstorp,57.2653,13.6042,https://en.wikipedia.org/wiki/Anderstorp_Raceway
avus,AVUS,Germany,Berlin,52.4806,13.2514,https://en.wikipedia.org/wiki/AVUS
bahrain,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,https://en.wikipedia.org/wiki/Bahrain_International_Circuit
baku,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,https://en.wikipedia.org/wiki/Baku_City_Circuit
boavista,Circuito da Boavista,Portugal,Oporto,41.1705,-8.67325,https://en.wikipedia.org/wiki/Circuito_da_Boavista
brands_hatch,Brands Hatch,UK,Kent,51.3569,0.263056,https://en.wikipedia.org/wiki/Brands_Hatch
bremgarten,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194,https://en.wikipedia.org/wiki/Circuit_Bremgarten
buddh,Buddh International Circuit,India,Uttar Pradesh,28.3487,77.5331,https://en.wikipedia.org/wiki/Buddh_International_Circuit
catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,41.57,2.26111,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
charade,Charade Circuit,France,Clermont-Ferrand,45.7472,3.03889,https://en.wikipedia.org/wiki/Circuit_de_Charade
dallas,Fair Park,USA,Dallas,32.7774,-96.7587,https://en.wikipedia.org/wiki/Fair_Park
detroit,Detroit Street Circuit,USA,Detroit,42.3298,-83.0401,https://en.wikipedia.org/wiki/Detroit_street_circuit
dijon,Dijon-Prenois,France,Dijon,47.3625,4.89913,https://en.wikipedia.org/wiki/Dijon-Prenois
