year,round,raceName,circuitId,driverId,constructorId,number,position,Q1,Q2,Q3
2021,1,Bahrain Grand Prix,bahrain,max_verstappen,red_bull,33,1,1:30.499,1:30.318,1:28.997
2021,1,Bahrain Grand Prix,bahrain,hamilton,mercedes,44,2,1:30.617,1:30.085,1:29.385
2021,1,Bahrain Grand Prix,bahrain,bottas,mercedes,77,3,1:31.200,1:30.186,1:29.586
2021,1,Bahrain Grand Prix,bahrain,leclerc,ferrari,16,4,1:30.691,1:30.010,1:29.678
2021,1,Bahrain Grand Prix,bahrain,gasly,alphatauri,10,5,1:30.848,1:30.513,1:29.809
2021,1,Bahrain Grand Prix,bahrain,ricciardo,mclaren,3,6,1:30.795,1:30.222,1:29.927
2021,1,Bahrain Grand Prix,bahrain,norris,mclaren,4,7,1:30.902,1:30.099,1:29.974
2021,1,Bahrain Grand Prix,bahrain,sainz,ferrari,55,8,1:31.653,1:30.009,1:30.215
2021,1,Bahrain Grand Prix,bahrain,alonso,alpine,14,9,1:30.863,1:30.595,1:30.249
2021,1,Bahrain Grand Prix,bahrain,stroll,aston_martin,18,10,1:31.261,1:30.624,1:30.601
2021,1,Bahrain Grand Prix,bahrain,perez,red_bull,11,11,1:31.165,1:30.659,
2021,1,Bahrain Grand Prix,bahrain,giovinazzi,alfa,99,12,1:30.998,1:30.708,
2021,1,Bahrain Grand Prix,bahrain,tsunoda,alphatauri,22,13,1:30.607,1:31.203,
2021,1,Bahrain Grand Prix,bahrain,raikkonen,alfa,7,14,1:31.547,1:31.238,
2021,1,Bahrain Grand Prix,bahrain,russell,williams,63,15,1:31.316,1:33.430,
2021,1,Bahrain Grand Prix,bahrain,ocon,alpine,31,16,1:31.724,,
2021,1,Bahrain Grand Prix,bahrain,latifi,williams,6,17,1:31.936,,
2021,1,Bahrain Grand Prix,bahrain,vettel,aston_martin,5,18,1:32.056,,
2021,1,Bahrain Grand Prix,bahrain,mick_schumacher,haas,47,19,1:32.449,,
2021,1,Bahrain Grand Prix,bahrain,mazepin,haas,9,20,1:33.273,,
2021,2,Emilia Romagna Grand Prix,imola,hamilton,mercedes,44,1,1:14.823,1:14.817,1:14.411
2021,2,Emilia Romagna Grand Prix,imola,perez,red_bull,11,2,1:15.395,1:14.716,1:14.446
2021,2,Emilia Romagna Grand Prix,imola,max_verstappen,red_bull,33,3,1:15.109,1:14.884,1:14.498
2021,2,Emilia Romagna Grand Prix,imola,leclerc,ferrari,16,4,1:15.413,1:14.808,1:14.740
2021,2,Emilia Romagna Grand Prix,imola,gasly,alphatauri,10,5,1:15.548,1:14.927,1:14.790
2021,2,Emilia Romagna Grand Prix,imola,ricciardo,mclaren,3,6,1:15.669,1:15.033,1:14.826
2021,2,Emilia Romagna Grand Prix,imola,norris,mclaren,4,7,1:15.009,1:14.718,1:14.875
2021,2,Emilia Romagna Grand Prix,imola,bottas,mercedes,77,8,1:14.672,1:14.905,1:14.898
2021,2,Emilia Romagna Grand Prix,imola,ocon,alpine,31,9,1:15.385,1:15.117,1:15.210
2021,2,Emilia Romagna Grand Prix,imola,stroll,aston_martin,18,10,1:15.522,1:15.138,
2021,2,Emilia Romagna Grand Prix,imola,sainz,ferrari,55,11,1:15.406,1:15.199,
2021,2,Emilia Romagna Grand Prix,imola,russell,williams,63,12,1:15.826,1:15.261,
2021,2,Emilia Romagna Grand Prix,imola,vettel,aston_martin,5,13,1:15.459,1:15.394,
2021,2,Emilia Romagna Grand Prix,imola,latifi,williams,6,14,1:15.653,1:15.593,
2021,2,Emilia Romagna Grand Prix,imola,alonso,alpine,14,15,1:15.832,1:15.593,
2021,2,Emilia Romagna Grand Prix,imola,raikkonen,alfa,7,16,1:15.974,,
2021,2,Emilia Romagna Grand Prix,imola,giovinazzi,alfa,99,17,1:16.122,,
2021,2,Emilia Romagna Grand Prix,imola,mick_schumacher,haas,47,18,1:16.279,,
2021,2,Emilia Romagna Grand Prix,imola,mazepin,haas,9,19,1:16.797,,
2021,2,Emilia Romagna Grand Prix,imola,tsunoda,alphatauri,22,20,,,
2021,3,Portuguese Grand Prix,portimao,bottas,mercedes,77,1,1:18.722,1:18.458,1:18.348
2021,3,Portuguese Grand Prix,portimao,hamilton,mercedes,44,2,1:18.857,1:17.968,1:18.355
2021,3,Portuguese Grand Prix,portimao,max_verstappen,red_bull,33,3,1:19.485,1:18.650,1:18.746
2021,3,Portuguese Grand Prix,portimao,perez,red_bull,11,4,1:19.337,1:18.845,1:18.890
2021,3,Portuguese Grand Prix,portimao,sainz,ferrari,55,5,1:19.309,1:18.813,1:19.039
2021,3,Portuguese Grand Prix,portimao,ocon,alpine,31,6,1:19.092,1:18.586,1:19.042
2021,3,Portuguese Grand Prix,portimao,norris,mclaren,4,7,1:18.794,1:18.481,1:19.116
